title,location,budget,job_type,experience,rating,skills,page
Software Engineers Needed for AI MVP App and SAAS Deployment,United States,$15.00,Hourly,Expert,N/A,"TypeScript, OpenAI API, Artificial Intelligence, React, API, Supabase, Apple Xcode, Security Analysis",21
"AI/ML Engineer – Short-Term Contract (Agentic AI, Voice AI, Unstructured Data, Dashboard)",India,$15.00,Hourly,Expert,N/A,"AI Agent Development, Machine Learning, TensorFlow, Python, Artificial Intelligence, voice ai, agentic ai, CrewAI, AutoGen",21
Full-Stack Engineer (AI MVP),USA,$15.53 /hr avg hourly rate paid,Hourly,Expert,N/A,"Python, React, JavaScript, Node.js, API, API Integration",21
AI Engineer specialized in Email Sequencing and Automation,BHR,$6.62 /hr avg hourly rate paid,Hourly,Intermediate,4.9,"Generative AI, Large Language Model, AI Agent Development, Python, LangChain, LLaMA, LaMDA, Prompt Engineering, AI Model Training, Machine Learning",21
AI Engineer for Dating App Personal Companion & Matching recommendation,Taiwan,$15.00,Hourly,Intermediate,N/A,"Natural Language Processing, Hugging Face, LLM Prompt Engineering, LangChain, AI Agent Development",21
"Lead AI/ML Engineer (Hybrid + Graph RAG, Document Intelligence) — Long-term (1–2 freelancers)",CHE,$10.00,Hourly,Expert,N/A,"Python, Natural Language Processing",21
AI Engineer,India,$6.00,Hourly,Expert,4.9,"Artificial Intelligence, Python",21
USD180/Data Engineer/Chinese MCQ AI Formatting & Adding answers/~70 files/within 1 Day,Singapore,$180.00,Fixed-price,Expert,5.0,"Python, Microsoft Excel, Data Scraping, English, Chinese",21
Full Stack Software Engineer (with AI Experience),Canada,$25.00,Hourly,Expert,5.0,"Microsoft Azure, OpenAI API, LangChain, DevOps, Python, Artificial Intelligence, API, Pinecone, Prompt Engineering, CI/CD",21
AI Systems Architect & Automation Engineer,United States,$20.00,Hourly,Intermediate,N/A,"AI Model Integration, Automation, CRM Automation, Zapier, Google APIs, UI/UX Prototyping, AI Agent Development, Machine Learning Model, Prompt Engineering, Cloud Architecture",22
Voice AI Prompt Engineer Needed,Norway,$5.00,N/A,Intermediate,4.8,"VAPI, Retell, Voice AI",22
Expert AI/ML Engineer Needed for Text-to-Vector Image MVP on Vertex AI,United Kingdom,$700.00,Fixed-price,Intermediate,5.0,"Model Deployment, AI Model Training, Diffusion Model, Google AutoML, Supervised Learning, Machine Learning, Python, TensorFlow, Artificial Intelligence, Deep Learning",22
Data Engineer (Python) with experience in Prompting and AI,United States,$12.00,Hourly,Expert,4.7,"Data Engineering, Data Integration, Apache Airflow, Docker, Python, Data Science, Artificial Intelligence, Backend, Data Scraping",22
Prompt Engineering Specialist – AI Humanization,Turkey,"$1,000.00",Fixed-price,Expert,5.0,"AI Content Detection, AI Agent Development, LLM Prompt Engineering, ChatGPT Prompt",22
"Senior Full-Stack Engineer (React/Next.js, Node/Python, AI Integration) — Long-Term Retainer",TUR,$25.00,Hourly,Expert,5.0,"Web Application, AI Agent Development, AI App Development, AI Model Integration, React, Node.js, Python, Amazon Web Services, API, API Integration",22
AI Engineer- Architect,India,N/A,Hourly,Expert,N/A,"Python, Artificial Intelligence, Machine Learning, Generative AI, LangChain, Machine Learning Model, Azure ML, Azure OpenAI Service, Data Science, Data Analysis",22
"AI Prompt Engineer for OnlyFans ""Style"" Creator Profiles",South Africa,$8.00,Fixed-price,Entry level,N/A,"Graphic Design, Copywriting, Article Writing, Content Strategy",22
Backend Engineer – AWS & AI Automation,United States,$5.00,Hourly,Intermediate,5.0,"Amazon Web Services, AWS Lambda, Amazon S3, Python, Amazon DynamoDB",22
Senior Fullstack AI Engineer,India,$15.00,Hourly,Intermediate,N/A,"TypeScript, Next.js, React, Python, JavaScript",22
AI Engineering Upgrade needed for DocuClipper,Barbados,$150.00,Fixed-price,Intermediate,5.0,"Python, API Development, VB.NET, .NET Framework, Desktop Application",23
🎥 Google VEO 3 Prompting Expert – AI Video Scene Builder & Story Engineer,United States,$8.00,Hourly,Expert,5.0,"AI-Generated Video, VEO 3, Screne Builder, Story Engineer, AI Agents, AI Video Creation",23
NLP/Voice AI Engineer Needed for Innovative Project,Hong Kong,$19.00,Hourly,Intermediate,5.0,"Automatic Speech Recognition, NLP Tokenization, Artificial Intelligence, Natural Language Processing, TensorFlow, Machine Learning, Python, Whisper AI, Mistral 7B, vLLM",23
AI Engineer Needed for GenAI & ML Applications,ARE,$10.00,Hourly,Expert,5.0,"Machine Learning, Artificial Intelligence, Python, Data Science, Natural Language Processing, Neural Network, Deep Learning, TensorFlow, Artificial Neural Network",23
NLP/Voice AI Engineer Needed for Innovative Project,Hong Kong,$18.00,Hourly,Intermediate,5.0,"Artificial Intelligence, Natural Language Processing, TensorFlow, Machine Learning, Python",23
AI Prompt Engineer – E-Commerce Marketing & Video Content Creation,Netherlands,$7.59 /hr avg hourly rate paid,Hourly,Expert,5.0,"AI Content Creation, Content Creation, Content Writing, Writing, Prompt Engineering",23
"Senior AI Engineer Team LLMs, LangChain, AI Agents, Web & App Development",ZAF,$570.00,Fixed-price,Expert,5.0,"AI Agent Development, Python, Artificial Intelligence, Machine Learning, TensorFlow, Amazon Web Services, JavaScript, Machine Learning Algorithm, API, React",23
AI Engineer with Whisper expertise,United Kingdom,$30.00,Hourly,Expert,4.9,"PyTorch, Artificial Intelligence, Python, Deep Learning, Natural Language Processing",23
AI Engineer,Nepal,$30.00,Hourly,Expert,N/A,"Artificial Intelligence, Python, TensorFlow, Machine Learning, Artificial Neural Network, Deep Learning, Chatbot Development",23
AI Audio Engineer - ElevenLabs / Suno,United States,$20.00,Hourly,Expert,5.0,"Audio Editing, ElevenLabs, Audio & Music Software, Music & Sound Design, Artificial Intelligence",23
Senior Lead Engineer (ML/AI),Poland,"$1,000.00",Fixed-price,Expert,N/A,"Python, Machine Learning, Artificial Intelligence, TensorFlow, Data Science",24
AI Prompt Engineer / Instructional Designer Needed for Learning Modules,United States,$500.00,Fixed-price,Intermediate,N/A,"Instructional Design, Articulate Storyline, Elearning, Online Instruction, Course, Prompt Engineering",24
AI Agent Engineer for Financial Solutions,United States,$9.36 /hr avg hourly rate paid,Hourly,Expert,5.0,"Artificial Intelligence, Python, Machine Learning, Data Science, Microsoft Excel",24
Personal Assistant / Full-Stack AI & Machine Learning Engineer,United States,$10.56 /hr avg hourly rate paid,Hourly,Expert,4.9,"AI Agent Development, AI-Generated Code, AI App Development, API Integration, Full-Stack Development, Python, Machine Learning, TensorFlow, Deep Learning, Artificial Intelligence",24
AI Engineer for Business Automation Project in Milan,Italy,$19.00,Hourly,Expert,N/A,"Artificial Intelligence, Python, TensorFlow, Project Management, Data Science, Natural Language Processing, Chatbot Development",24
AI Engineer for Fine-Tuning and Full-Stack Development,United States,$250.00,Fixed-price,Expert,4.8,"Microsoft Azure, Python, JavaScript, Web Development, Machine Learning, Hugging Face",24
AI Engineer (Expert Level),Philippines,N/A,Hourly,Expert,N/A,"AI App Development, AI Development, Edge AI, Explainable AI, Artificial Intelligence, Machine Learning, Data Science, Artificial Neural Network, Deep Learning, C++",24
AI Engineer Needed for Innovative Projects,Turkey,$3.00,Hourly,Expert,N/A,"Python, 3D Modeling, Artificial Intelligence, Product Design, Machine Learning",24
Chrome Extension Developer + AI/LLM Engineer Needed,USA,$3.00,Hourly,Expert,N/A,"AI Agent Development, AI Bot, ChatGPT API Integration, Google Chrome Extension, API",24
Prompt Engineer / AI Specialist for Sports Betting AI (Vercel AI SDK)- ON going work,ROU,Fixed-price $120.00,Hourly,Expert,N/A,Artificial Intelligence,24
"Senior Multi-Agent LangGraph/Langroid Engineer - LLM, RAG, LaTeX, Vector DBs, Healthcare AI",Cayman Islands,$10.00,Hourly,Expert,5.0,"Python, LLMs, Generative AI, Multi Agent, Vector Databases, GCP, Langroid, AWS Bedrock, LaTeX",25
"Backend Engineer - APIs, Integrations & AI-Ready Systems",United States,"$2,000.00",Fixed-price,Expert,4.2,"API, Python, RESTful API, API Development, API Integration, Amazon Web Services, Node.js, JavaScript",25
Senior AI Engineer – RAG Pipeline Integration in .NET (LLMs + Vector DB),United Kingdom,$50.00,Fixed-price,Expert,5.0,"ASP.NET, Azure DevOps",25
"Senior Database Performance Engineer (SQL Server, PostgreSQL, AI Optimization)",United States,$10.00,Hourly,Expert,N/A,"Database Optimization, Query Analysis, Query Tuning, Query Optimization, SQL, PostgreSQL, Microsoft SQL Server",25
"Senior AI & Robotics Engineer (Contract, Part-Time)",India,N/A,Hourly,Expert,N/A,"C++, Python, nvidia cuda, nvidia issac, nvidia issac ros, Large Language Model, AI Model Development",25
Expert Power Systems Electrical Engineer for High-Current AI Data Center Hardware,United States,$35.00,Hourly,Intermediate,5.0,"Electrical Engineering, Circuit Design, MATLAB, Electronics",25
AI/ML Backend Engineer (Python & Agents),United States,$20.00,Hourly,Expert,5.0,"Python, Machine Learning, TensorFlow, Natural Language Processing, Data Science, Python Scikit-Learn, Artificial Intelligence, Flask, Deep Learning",25
Job Title: Full Stack Engineer – AI-Powered Voice & Chat Agent Platform,Saudi Arabia,Fixed-price $60.00,N/A,Expert,4.8,"Full-Stack Development, AI Development, React, Docker, Python, PostgreSQL, Node.js, Websockets, WebRTC, OpenSIPS",25
Full-Stack AI Engineer for Neural Memory Search & Personal Assistant Platform,United States,Fixed-price $320.00,N/A,Intermediate,5.0,"AI Development, AI App Development, Deep Learning, Artificial Intelligence, Natural Language Processing, Machine Learning, Data Science, API Integration, Cloud Computing, Mobile App Development",25
Machine Learning Engineer – Forecasting & AI Validation,United States,$11.56 /hr avg hourly rate paid,Hourly,Expert,5.0,"XGBoost, Python Scikit-Learn, pandas, MLflow, Machine Learning, Data Science, Python, Prophet, multi-tenant, Apache Airflow",25
AI App Engineer (Python/React),United States,$25.00,Hourly,Expert,5.0,"Django, OpenAI API, AWS Lambda, AI Model Integration, Python, React, n8n",26
AI Engineer needed to develop solution to detect tampered document,USA,$100.00,Fixed-price,Entry level,5.0,"Artificial Intelligence, Machine Learning, Deep Learning, Natural Language Processing",26
AI/ML Engineer for Generative Animation Model,United States,Fixed-price,Hourly,Intermediate,N/A,"TensorFlow, Machine Learning, Artificial Neural Network, Artificial Intelligence, Deep Learning",26
N/A,United States,$20.00,N/A,Intermediate,N/A,"Next.js, Tailwind CSS, Full-Stack Development, Nest.js, Prisma, Shadcn",26
Elasticsearch + Haystack Engineer for AI/LLM Data Retrieval,IND,$100.00,Fixed-price,Intermediate,5.0,"Python, Machine Learning, Data Science, TensorFlow",26
AI Engineer for AI/RAG Based Project,India,$19.00,Hourly,Intermediate,5.0,"Artificial Intelligence, Machine Learning, Neural Network, Natural Language Processing, OpenAI API, Fine-tuning LLM",26
Prompt Engineer for AI Driven App Development,United States,$15.00,Hourly,Intermediate,5.0,"OpenAI API, Android, Python, JavaScript, Java, Artificial Intelligence, Prompt Engineering",26
AI/ML Backend Engineer (Python & Agents),United States,$20.00,Hourly,Expert,5.0,"Python, Machine Learning, TensorFlow, Natural Language Processing, Data Science, Python Scikit-Learn, Artificial Intelligence, Flask, Deep Learning",26
"AI Engineer (Microservice Development, LLM Integration, Node.js/Python)",HKG,$8.00,Hourly,Intermediate,N/A,"AI App Development, Python, REST API, LLM Prompt, Node.js, FastAPI, HubSpot",26
AI Pre-Sales Engineer for Bespoke Solution Discovery Calls,United States,$12.40 /hr avg hourly rate paid,Hourly,Intermediate,3.6,"Lead Generation, Sales, Python, Cold Calling, JavaScript",26
AI Prompt Engineer / Instructional Designer Needed for Learning Modules,United States,$500.00,Fixed-price,Intermediate,N/A,"Instructional Design, Articulate Storyline, Elearning, Online Instruction, Course, Prompt Engineering",27
AI Engineer for Test Automation Development,India,$10.00,Hourly,Intermediate,N/A,"Python, Artificial Intelligence, Automated Testing, Test Automation Framework, JavaScript",27
Full Stack AI Engineer for SaaS Platform Development,Mexico,$15.00,Hourly,Intermediate,N/A,"React, Amazon Web Services, API, JavaScript, Python",27
Vibe Coder Engineer for AI-Powered SaaS Development,Mauritius,$100.00,Fixed-price,Intermediate,4.5,"Tailwind CSS, TypeScript, Web Application, AI Development, React, react shadcn, readdy, Supabase, Artificial Intelligence, UI/UX Prototyping",27
Senior Fullstack/DevOps Engineer: Deploy AI-Generated Healthcare SaaS to Production (1 Week),United States,"$1,000.00",Fixed-price,Intermediate,4.9,"TypeScript, Redis, PostgreSQL, ExpressJS, DevOps, Node.js, DigitalOcean, jwt",27
"Senior AI & Robotics Engineer (Contract, Part-Time)",India,N/A,Hourly,Expert,N/A,"C++, Python, nvidia cuda, nvidia issac, nvidia issac ros, Large Language Model, AI Model Development",27
Full-Stack AI Engineer for AI Bot Survey Platform Development,United States,$25.00,Hourly,Expert,5.0,"Python, Artificial Intelligence, API, JavaScript, Machine Learning",27
Full-Stack Growth Engineer Needed for Next.js Project with AI Integration,United Arab Emirates,"$1,500.00",Fixed-price,Intermediate,N/A,"React, JavaScript, Python, Node.js, Web Development",27
Job Title: Full Stack Engineer – AI-Powered Voice & Chat Agent Platform,Saudi Arabia,Fixed-price $60.00,N/A,Expert,4.8,"Full-Stack Development, AI Development, React, Docker, Python, PostgreSQL, Node.js, Websockets, WebRTC, OpenSIPS",27
"AI Automation Engineer for E-Commerce (n8n, MCP, Vector Expertise)",GBR,$25.00,Hourly,Expert,4.0,"n8n, MCP, Vector Database, AI Automation",27
Full-Stack AI Engineer for Operations & Logistics Application,United States,$15.00,Hourly,Intermediate,3.9,"AI Agent Development, Full-Stack Development, Python, JavaScript, API, API Integration, Web Application",28
Control Systems Engineer Needed for AI-Guided Autonomous FPV Drone,IND,N/A,Hourly,Expert,N/A,"Electrical Engineering, Machine Learning, Artificial Intelligence, Electronics, Robotics, MATLAB, Embedded System",28
Full-Stack Software Engineer (Mobile Web & AI / Vibe Coding Friendly),United States,$71.78 /hr avg hourly rate paid,Hourly,Expert,5.0,"TypeScript, React, Python, Artificial Intelligence",28
AI Engineer for Business Automation Project in Milan,Italy,$19.00,Hourly,Expert,N/A,"Artificial Intelligence, Python, TensorFlow, Project Management, Data Science, Natural Language Processing, Chatbot Development",28
Cloud-Based AI App Development for Protein Engineering,Switzerland,$46.71 /hr avg hourly rate paid,Hourly,Intermediate,4.4,"Python, Java, Artificial Intelligence, JavaScript, Amazon Web Services",28
Data Engineer (Python) with experience in Prompting and AI,United States,$12.00,Hourly,Expert,4.7,"Data Engineering, Data Integration, Apache Airflow, Docker, Python, Data Science, Artificial Intelligence, Backend, Data Scraping",28
Full Stack Software Engineer (with AI Experience),Canada,$25.00,Hourly,Expert,5.0,"Microsoft Azure, OpenAI API, LangChain, DevOps, Python, Artificial Intelligence, API, Pinecone, Prompt Engineering, CI/CD",28
Expert Power Systems Electrical Engineer for High-Current AI Data Center Hardware,United States,$35.00,Hourly,Intermediate,5.0,"Electrical Engineering, Circuit Design, MATLAB, Electronics",28
Job Title: AI/ML Engineer,India,$30.00,Fixed-price,Intermediate,N/A,"NumPy, pandas, Matplotlib, Python Scikit-Learn, Keras, SQL, Python, Machine Learning, TensorFlow, GitHub",28
Full-Time Proposal Writer for Full Stack AI Engineer,India,$300.00,Fixed-price,Intermediate,N/A,"Lead Generation, Content Writing, Proposal Writing, Project Proposal, Business Cases, Business Editing",28
Python/AI Developer Odoo ERP Manufacturing Business Logic Engineer,Indonesia,Fixed-price $5.00,Hourly,Expert,5.0,"PostgreSQL, Python, Odoo, Artificial Intelligence, ERP Software",29
"Backend Engineer - APIs, Integrations & AI-Ready Systems",United States,"$2,000.00",Fixed-price,Expert,4.2,"API, Python, RESTful API, API Development, API Integration, Amazon Web Services, Node.js, JavaScript",29
Google Ads Growth Engineer (AI + Creative CPA Hacker),Australia,$11.00,Hourly,Expert,4.9,"Google Ads, Marketing Strategy",29
Mechanical Engineer with Thermal & DFM Expertise for AI Data Center Cooling,United States,$40.00,Hourly,Intermediate,5.0,"Mechanical Engineering, Engineering Design, Mechanical Design",29
Cloud Infrastructure Engineer with AI Scripting Expertise,United States,$15.00,Hourly,Intermediate,4.9,"Python, Google Cloud Platform, Amazon Web Services, DevOps, Docker",29
Senior Node.js Backend Engineer for AI Media Generation Microservice,Estonia,$25.00,N/A,Expert,5.0,"Node.js, API, Amazon Web Services, JavaScript, Python",29
Full-Stack Engineer (Django + React) for AI-Enhanced Web App,Philippines,$200.00,Fixed-price,Expert,N/A,"React, Django, Python, API Integration",29
Ai Engineers needed for Replit project,Australia,$20.00,Fixed-price,Expert,5.0,"Artificial Intelligence, Machine Learning, TensorFlow, Data Science, Neural Network, Computer Vision, Deep Learning, Python",29
Prompt Engineer Needed for AI Model Optimization,India,$250.00,Fixed-price,Intermediate,N/A,"Python, Machine Learning, Artificial Intelligence, TensorFlow, Data Science",29
Machine Learning Engineer (Computer Vision) – Harmful Content Detection (Video AI),India,$10.00,Hourly,Intermediate,N/A,"YOLO, PyTorch, TensorFlow, Detectron2, FFmpeg, PySceneDetect, Labelbox, Python, Machine Learning, Computer Vision",29
Technical Recruiter / Tech Talent Sourcer Needed for Software Engineering and AI Roles,United Kingdom,$100.00,Fixed-price,Intermediate,N/A,"Recruiting, Candidate Sourcing, LinkedIn Recruiting",30
Senior QA Engineer (Automation/Playwright/AI Tools),United States,$16.55 /hr avg hourly rate paid,Hourly,Expert,4.8,"Postman, Desktop Application Testing, Software QA, Web Testing, Software Testing, Mobile App Testing, Test Case Design, Manual Testing, Functional Testing, Automated Testing",30
"Frontend Engineer Needed to Build Advanced UI for AI-Driven Trading Platform (Tailwind, React)",United States,$5.00,Hourly,Expert,5.0,"Tailwind CSS, Next.js, TypeScript, Front-End Development, UI Animation, React, REST API, web sockets",30
Fullstack Engineer (NextJS/NestJS) for API-Heavy SaaS App [Cursor.ai Required],USA,$10.00,Hourly,Entry level,5.0,"TypeScript, Web Application, Website Redesign, Artificial Intelligence, React, JavaScript, API, Mobile App",30
SIP Trunk & PBX Integration Engineer – Voice AI Open Source Platforms,Saudi Arabia,Fixed-price $60.00,N/A,Expert,4.8,"VoIP, Session Initiation Protocol, VoIP Administration, Asterisk",30
DevOps Engineer Needed to Build AI First Pipeline in GitHub / Cursor / Claude Code,United States,$28.49 /hr avg hourly rate paid,N/A,Expert,5.0,"AIOps, DevOps Engineering, Deployment Automation, CI/CD, DevOps, Git",30
Data Engineer /Data Analyst – AI and Data Driven Workflow Automation - Advanced Analytics,United States,$10.00,Hourly,Expert,5.0,"Data Engineering, Data Integration, Data Transformation, Microsoft Power BI, SQL, ETL Pipeline, Business Intelligence, Data Modeling, Tableau, Data Analysis",30
Automation Engineer for AI Agent Workflows using n8n,Australia,$10.00,Fixed-price,Intermediate,5.0,"Python, Artificial Intelligence, Robotic Process Automation, Automation, Chatbot Development",30
Senior Software Engineer (Laravel + Weaviate + OpenAI),United States,$10.00,Hourly,Intermediate,5.0,"API, Python, PHP, Laravel, RESTful API, JavaScript, MySQL, Amazon Web Services",30
"DevOps Engineer - AWS, GCP, Agentic AI Orchestration + MicroServices",United States,"$1,000.00",Fixed-price,Expert,4.2,"DevOps, CI/CD, Amazon Web Services, Docker, Kubernetes, Google Cloud Platform, CI/CD Platform, Deployment Automation, Terraform, Ansible",30
